award_id,agency_id,vendor_id,vehicle_id,contract_name,award_value,start_date,end_date,naics,psc,keywords,description
FA868224CB001,USAF,V002,VEH005,LONG RANGE ANTI-SHIP MISSILE/JOINT AIR-TO-SURFACE STANDOFF MISSILE LARGE LOT PROCUREMENT,5704228611.03,2024-09-27,2027-05-31,"{'code': '336414', 'description': 'GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING'}","{'code': '1425', 'description': 'GUIDED MISSILE SYSTEMS, COMPLETE'}",digital transformation;data visualization,Public USAspending.gov award row curated for dashboard demo.
N0001909C0022,ARMY,V004,VEH006,P-8A LRIP I LONG LEAD MATERIAL,5699021641.13,2009-04-13,2018-07-31,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",acquisition analytics;decision support;Power BI,Public USAspending.gov award row curated for dashboard demo.
N0002405C5346,DHA,V026,VEH007,Public demo award 71,5668542889.12,2005-05-25,2019-09-29,"{'code': '541330', 'description': 'ENGINEERING SERVICES'}","{'code': 'AJ43', 'description': 'R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (ADVANCED DEVELOPMENT)'}",RAG;LLM;enterprise search;knowledge management,Public USAspending.gov award row curated for dashboard demo.
W31P4Q15C0022,GSA,V026,VEH008,TEN FIRE UNITS FOR QATAR,5607763941.57,2014-12-19,2025-05-31,"{'code': '336414', 'description': 'GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING'}","{'code': '1425', 'description': 'GUIDED MISSILE SYSTEMS, COMPLETE'}",Power Platform;workflow automation;data governance,Public USAspending.gov award row curated for dashboard demo.
N0001912C0004,DON,V002,VEH001,LONG LEAD-TIME ITEMS,5597451611.0,2012-06-15,2026-02-28,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",data analytics;Power BI;decision support,Public USAspending.gov award row curated for dashboard demo.
W58RGZ17C0009,NAVSEA,V024,VEH002,W58RGZ-17-C-0009 MY IX BLACK HAWK PRODUCTION CONTRACT AWARD.,5584742286.87,2017-06-22,2025-12-31,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1520', 'description': 'AIRCRAFT, ROTARY WING'}",AI;machine learning;data governance,Public USAspending.gov award row curated for dashboard demo.
N0001912C0112,CDAO,V004,VEH003,P-8A FRP LOT I LONG LEAD MATERIAL,5544117634.23,2012-08-31,2031-10-13,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",knowledge management;SharePoint;workflow automation,Public USAspending.gov award row curated for dashboard demo.
N0001918C1046,DISA,V004,VEH004,F/A-18E AIRCRAFT,5496533530.53,2018-05-08,2028-08-31,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",cyber;data engineering;cloud,Public USAspending.gov award row curated for dashboard demo.
N0001913C9999,USAF,V013,VEH005,E-2D ADVANCED HAWKEYE AIRCRAFT (FRP-2),5374740355.12,2013-05-13,2026-12-31,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",digital transformation;data visualization,Public USAspending.gov award row curated for dashboard demo.
N0002418C2305,ARMY,V027,VEH006,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,5338381970.86,2018-09-27,2030-12-20,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",acquisition analytics;decision support;Power BI,Public USAspending.gov award row curated for dashboard demo.
FA861520F0001,DHA,V002,VEH007,TAIWAN/MOROCCO F-16 PRODUCTION BLOCK 70/72,5212953429.32,2020-08-14,2029-12-31,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",RAG;LLM;enterprise search;knowledge management,Public USAspending.gov award row curated for dashboard demo.
N0003904C2009,GSA,V015,VEH008,Public demo award 80,5178428982.51,2004-09-24,2022-08-18,"{'code': '334220', 'description': 'RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING'}","{'code': 'AR95', 'description': 'R&D- SPACE: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)'}",Power Platform;workflow automation;data governance,Public USAspending.gov award row curated for dashboard demo.
W52P1J09C0013,DON,V028,VEH001,THE PURPOSE OF MODIFICATION P00003 - CLIN 0002 CONSTRUCTION IS TO DO THE FOLLOWING:  1. FY 09 RDTE FUNDS ARE HEREBY OBLI,5030576178.6,2009-03-19,2028-04-03,"{'code': '562211', 'description': 'HAZARDOUS WASTE TREATMENT AND DISPOSAL'}","{'code': 'F108', 'description': 'ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION'}",data analytics;Power BI;decision support,Public USAspending.gov award row curated for dashboard demo.
N0002423C2305,NAVSEA,V027,VEH002,CONSTRUCTION OF DDG 51 SHIPS FY23-27,5027510800.0,2023-08-01,2034-02-28,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",AI;machine learning;data governance,Public USAspending.gov award row curated for dashboard demo.
N0001910C0002,CDAO,V002,VEH003,LOW RATE INTITIAL PRODUCTION (LRIP) LOT 5 ADVANCED ACQUISITION CONTRACT.,4993929468.3,2010-07-06,2022-05-04,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",knowledge management;SharePoint;workflow automation,Public USAspending.gov award row curated for dashboard demo.
N0002411C2300,DISA,V002,VEH004,BASIC AWARD,4980508595.15,2010-12-29,2026-12-31,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",cyber;data engineering;cloud,Public USAspending.gov award row curated for dashboard demo.
N0002424C2110,USAF,V003,VEH005,SSN 814 & SSN 815 LONG LEAD TIME MATERIAL,4960017500.0,2023-10-13,2035-09-30,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",digital transformation;data visualization,Public USAspending.gov award row curated for dashboard demo.
N0002413C2305,ARMY,V027,VEH006,FY13-FY17 DDG 51 CLASS SHIP CONSTRUCTION.,4929339415.56,2013-06-03,2027-01-31,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",acquisition analytics;decision support;Power BI,Public USAspending.gov award row curated for dashboard demo.
N0001993C0006,DHA,V029,VEH007,Public demo award 87,4885212163.54,1992-10-15,2017-06-30,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': 'AC15', 'description': 'NATIONAL DEFENSE R&D SVCS; DEPARTMENT OF DEFENSE - MILITARY; R&D FACILITIES & MAJ EQUIP'}",RAG;LLM;enterprise search;knowledge management,Public USAspending.gov award row curated for dashboard demo.
N0001921C0011,GSA,V017,VEH008,FY21 PBL2,4865962075.84,2020-12-01,2030-02-28,"{'code': '336412', 'description': 'AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING'}","{'code': '2840', 'description': 'GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS'}",Power Platform;workflow automation;data governance,Public USAspending.gov award row curated for dashboard demo.
W58RGZ13C0002,DON,V004,VEH001,CH-47F CARGO HELICOPTER MULTIYEAR II.  34 NEW BUILD HELICOPTERS AND 121 RENEW HELICOPTERS.,4864238445.89,2013-06-10,2022-12-20,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1520', 'description': 'AIRCRAFT, ROTARY WING'}",data analytics;Power BI;decision support,Public USAspending.gov award row curated for dashboard demo.
W52P1J10C0062,NAVSEA,V030,VEH002,KUWAIT BASE OPERATIONS AND SECURITY SUPPORT SERVICES,4815704492.89,2010-09-29,2023-08-28,"{'code': '561210', 'description': 'FACILITIES SUPPORT SERVICES'}","{'code': 'M159', 'description': 'OPER OF GOVT OTHER INDUSTRIAL BLDG'}",AI;machine learning;data governance,Public USAspending.gov award row curated for dashboard demo.
W58RGZ22C0010,CDAO,V024,VEH003,MULTI-YEAR TEN (MY X) BLACK HAWK PRODUCTION AWARD FOR PROCUREMENT OF 120 H-60M BLACK HAWK HELICOPTERS FOR FISCAL YEARS 2,4695788015.84,2022-06-26,2027-12-31,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1520', 'description': 'AIRCRAFT, ROTARY WING'}",knowledge management;SharePoint;workflow automation,Public USAspending.gov award row curated for dashboard demo.
N0002418C2406,DISA,V022,VEH004,LPD 30 LLTM,4629691843.0,2018-08-02,2031-03-01,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",cyber;data engineering;cloud,Public USAspending.gov award row curated for dashboard demo.
0089,USAF,V016,VEH005,200509!001151!2100!W52P1J!U.S. ARMY INDUSTRIAL OPERATIONS !DAAA0902D0007  !A!N! !Y!0089         !      !20050613!2012013,4609561500.42,2005-06-13,2012-12-31,"{'code': '561210', 'description': 'FACILITIES SUPPORT SERVICES'}","{'code': 'R706', 'description': 'SUPPORT- MANAGEMENT: LOGISTICS SUPPORT'}",digital transformation;data visualization,Public USAspending.gov award row curated for dashboard demo.
HQ085621C0001,ARMY,V002,VEH006,"DESIGN, DEVELOPMENT, AND DEVELOPMENTAL TESTING OF THE NEXT GENERATION INTERCEPTOR (NGI) ALL-UP-ROUND (AUR)",4603488929.18,2021-03-25,2031-03-31,"{'code': '541715', 'description': 'RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)'}","{'code': 'AC13', 'description': 'NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; EXPERIMENTAL DEVELOPMENT'}",acquisition analytics;decision support;Power BI,Public USAspending.gov award row curated for dashboard demo.
W31P4Q19C0011,DHA,V002,VEH007,"W31P4Q-19-C-0011 PAC-3 PRODUCTION CONTRACT FOR THE FY19/20 US/FMS REQUIREMENTS, WHICH INCLUDES: MSE&CRI MISSILES, LMKS A",4583057418.88,2018-12-21,2027-03-31,"{'code': '336419', 'description': 'OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING'}","{'code': '1410', 'description': 'GUIDED MISSILES'}",RAG;LLM;enterprise search;knowledge management,Public USAspending.gov award row curated for dashboard demo.
N0002498C2104,GSA,V009,VEH008,Public demo award 96,4563665299.0,1999-11-03,2023-05-17,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1901', 'description': 'AIRCRAFT CARRIERS'}",Power Platform;workflow automation;data governance,Public USAspending.gov award row curated for dashboard demo.
FA880708C0010,DON,V015,VEH001,GLOBAL POSITIONING SYSTEM (GPS) IIIA,4545479948.53,2008-05-15,2027-07-23,"{'code': '336414', 'description': 'GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING'}","{'code': '1810', 'description': 'SPACE VEHICLES'}",data analytics;Power BI;decision support,Public USAspending.gov award row curated for dashboard demo.
N0002409C2116,NAVSEA,V009,VEH002,TAS::17 1611::TAS CVN79 CONSTRUCTION PREPARATION EFFORTS FY09,4515006046.83,2009-01-15,2025-07-31,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1901', 'description': 'AIRCRAFT CARRIERS'}",AI;machine learning;data governance,Public USAspending.gov award row curated for dashboard demo.
W52P1J09C0012,CDAO,V031,VEH003,RESTRUCTURED CONTRACT TO FACILITATE A CONTRACTUAL VEHICLE FOR THE LIFE OF THE DAAA09-02-D-0025 CONTRACT FROM SYSTEMIZATI,4512659363.96,2009-03-18,2028-01-27,"{'code': '562211', 'description': 'HAZARDOUS WASTE TREATMENT AND DISPOSAL'}","{'code': 'F108', 'description': 'ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION'}",knowledge management;SharePoint;workflow automation,Public USAspending.gov award row curated for dashboard demo.
N0002415C2114,DISA,V009,VEH004,DETAIL DESIGN AND CONSTRUCTION CVN 79,4500147199.12,2015-06-05,2025-07-31,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",cyber;data engineering;cloud,Public USAspending.gov award row curated for dashboard demo.
